  Current Time (s),Current Time (years),Pore Volume,Phase1-S8- Volume rate,Phase1-S8- Cumulative production
 0.20430000000E+05,0.64783105023E-03,0.16000000000E-03,0.55499993338E-08,0.11338648639E-03
 0.20520000000E+05,0.65068493151E-03,0.16000000000E-03,0.55499993338E-08,0.11388598633E-03
 0.20610000000E+05,0.65353881279E-03,0.16000000000E-03,0.55499993338E-08,0.11438548627E-03
 0.20700000000E+05,0.65639269406E-03,0.16000000000E-03,0.55499993338E-08,0.11488498621E-03
 0.20790000000E+05,0.65924657534E-03,0.16000000000E-03,0.55499993338E-08,0.11538448615E-03
 0.20880000000E+05,0.66210045662E-03,0.16000000000E-03,0.55499993338E-08,0.11588398609E-03
 0.20970000000E+05,0.66495433790E-03,0.16000000000E-03,0.55499993338E-08,0.11638348603E-03
 0.21060000000E+05,0.66780821918E-03,0.16000000000E-03,0.55499993338E-08,0.11688298597E-03
 0.21150000000E+05,0.67066210046E-03,0.16000000000E-03,0.55499993338E-08,0.11738248591E-03
 0.21240000000E+05,0.67351598174E-03,0.16000000000E-03,0.55499993338E-08,0.11788198585E-03
 0.21330000000E+05,0.67636986301E-03,0.16000000000E-03,0.55499993338E-08,0.11838148579E-03
 0.21420000000E+05,0.67922374429E-03,0.16000000000E-03,0.55499993338E-08,0.11888098573E-03
 0.21510000000E+05,0.68207762557E-03,0.16000000000E-03,0.55499993338E-08,0.11938048567E-03
 0.21600000000E+05,0.68493150685E-03,0.16000000000E-03,0.55499993338E-08,0.11987998561E-03
 0.21690000000E+05,0.68778538813E-03,0.16000000000E-03,0.55499993338E-08,0.12037948555E-03
 0.21780000000E+05,0.69063926941E-03,0.16000000000E-03,0.55499993338E-08,0.12087898549E-03
 0.21870000000E+05,0.69349315068E-03,0.16000000000E-03,0.55499993338E-08,0.12137848543E-03
 0.21960000000E+05,0.69634703196E-03,0.16000000000E-03,0.55499993338E-08,0.12187798537E-03
 0.22050000000E+05,0.69920091324E-03,0.16000000000E-03,0.55499993338E-08,0.12237748531E-03
 0.22140000000E+05,0.70205479452E-03,0.16000000000E-03,0.55499993338E-08,0.12287698525E-03
 0.22230000000E+05,0.70490867580E-03,0.16000000000E-03,0.55499993338E-08,0.12337648519E-03
 0.22320000000E+05,0.70776255708E-03,0.16000000000E-03,0.55499993338E-08,0.12387598513E-03
 0.22410000000E+05,0.71061643836E-03,0.16000000000E-03,0.55499993338E-08,0.12437548507E-03
 0.22500000000E+05,0.71347031963E-03,0.16000000000E-03,0.55499993338E-08,0.12487498501E-03
 0.22590000000E+05,0.71632420091E-03,0.16000000000E-03,0.55499993338E-08,0.12537448495E-03
 0.22680000000E+05,0.71917808219E-03,0.16000000000E-03,0.55499993338E-08,0.12587398489E-03
 0.22770000000E+05,0.72203196347E-03,0.16000000000E-03,0.55499993338E-08,0.12637348483E-03
 0.22860000000E+05,0.72488584475E-03,0.16000000000E-03,0.55499993338E-08,0.12687298477E-03
 0.22950000000E+05,0.72773972603E-03,0.16000000000E-03,0.55499993338E-08,0.12737248471E-03
 0.23040000000E+05,0.73059360731E-03,0.16000000000E-03,0.55499993338E-08,0.12787198465E-03
 0.23130000000E+05,0.73344748858E-03,0.16000000000E-03,0.55499993338E-08,0.12837148459E-03
 0.23220000000E+05,0.73630136986E-03,0.16000000000E-03,0.55499993338E-08,0.12887098453E-03
